src,src_desc,proc,src_field,f_name,f_desc,is_category,online_table
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,creation_dt,card_limit_report_date_diff_creation_dt_aggmin,кол-во дней с последнего изменения лимита,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,prop_uid,card_limit_prop_uid_aggcnt,кол-во изменений лимита за всё время,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_aggcnt_d730,кол-во изменений лимита за последние 730 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_aggcnt_d365,кол-во изменений лимита за последние 365 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_aggcnt_d180,кол-во изменений лимита за последние 180 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_aggcnt_d90,кол-во изменений лимита за последние 90 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_incrs_aggcnt,кол-во увеличений лимита за всё время,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_incrs_aggcnt_d730,кол-во увеличений лимита за последние 730 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_incrs_aggcnt_d365,кол-во увеличений лимита за последние 365 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_incrs_aggcnt_d180,кол-во увеличений лимита за последние 180 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_incrs_aggcnt_d90,кол-во увеличений лимита за последние 90 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_decrs_aggcnt,кол-во уменьшений лимита за всё время,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_decrs_aggcnt_d730,кол-во уменьшений лимита за последние 730 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_decrs_aggcnt_d365,кол-во уменьшений лимита за последние 365 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_decrs_aggcnt_d180,кол-во уменьшений лимита за последние 180 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_decrs_aggcnt_d90,кол-во уменьшений лимита за последние 90 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_incrs_aggmin,мин. увеличение лимита за всё время,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_incrs_aggmax,макс. увеличение лимита за всё время,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_incrs_aggavg,среднее увеличение лимита за всё время,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_incrs_aggmin_d730,мин. увеличение лимита за последние 730 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_incrs_aggmax_d730,макс. увеличение лимита за последние 730 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_incrs_aggavg_d730,среднее увеличение лимита за последние 730 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_incrs_aggmin_d365,мин. увеличение лимита за последние 365 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_incrs_aggmax_d365,макс. увеличение лимита за последние 365 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_incrs_aggavg_d365,среднее увеличение лимита за последние 365 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_incrs_aggmin_d180,мин. увеличение лимита за последние 180 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_incrs_aggmax_d180,макс. увеличение лимита за последние 180 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_incrs_aggavg_d180,среднее увеличение лимита за последние 180 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_incrs_aggmin_d90,мин. увеличение лимита за последние 90 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_incrs_aggmax_d90,макс. увеличение лимита за последние 90 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_incrs_aggavg_d90,среднее увеличение лимита за последние 90 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_decrs_aggmin,мин. уменьшение лимита за всё время,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_decrs_aggmax,макс. уменьшение лимита за всё время,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_decrs_aggavg,среднее уменьшение лимита за всё время,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_decrs_aggmin_d730,мин. уменьшение лимита за последние 730 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_decrs_aggmax_d730,макс. уменьшение лимита за последние 730 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_decrs_aggavg_d730,среднее уменьшение лимита за последние 730 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_decrs_aggmin_d365,мин. уменьшение лимита за последние 365 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_decrs_aggmax_d365,макс. уменьшение лимита за последние 365 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_decrs_aggavg_d365,среднее уменьшение лимита за последние 365 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_decrs_aggmin_d180,мин. уменьшение лимита за последние 180 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_decrs_aggmax_d180,макс. уменьшение лимита за последние 180 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_decrs_aggavg_d180,среднее уменьшение лимита за последние 180 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_decrs_aggmin_d90,мин. уменьшение лимита за последние 90 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_decrs_aggmax_d90,макс. уменьшение лимита за последние 90 дней,0,
dm_mrk.dm_mrk_card_limit,изменение лимита по картам по контрактам,ema_collect_feat_dm_mrk_card_limit_contruid,limit_dif,card_limit_limit_dif_decrs_aggavg_d90,среднее уменьшение лимита за последние 90 дней,0,
