Тип                                       Подтип                                                                                          Претензия по продукту
3-е лицо                                  Звонки / СМС / письма другому клиенту (3-е лицо)                                                Персональные данные
3-е лицо                                  Звонки / СМС / письма другому клиенту (3-е лицо) - задолженность / взыскание                    Персональные данные
3-е лицо                                  Звонки / СМС / письма другому клиенту (3-е лицо) - рекламные рассылки (маркетинг)               Персональные данные
3-е лицо                                  Звонки / СМС / письма другому клиенту (3-е лицо) - транзакционные рассылки / выписки            Персональные данные
АО "Инлайф страхование жизни"             Навязали оформление договора                                                                    Партнерские продукты
АО "Инлайф страхование жизни"             Некорректная / неполная консультация по услуге сотрудником Банка                                Партнерские продукты
АО "Инлайф страхование жизни"             Проблемы с выплатами                                                                            Партнерские продукты
Аккредитив                                Проблемы при пользовании продуктом                                                              Другие продукты Банка
Акции для Клиентов                        Не получил бонусы в рамках Акции                                                                Программа лояльности/Акции
Акции для Клиентов                        Не получил промокод                                                                             Программа лояльности/Акции
Акции для Клиентов                        Не согласен с размером начисленных бонусов                                                      Программа лояльности/Акции
Акции для Клиентов                        Проблемы с реферальной ссылкой                                                                  Программа лояльности/Акции
Акции/Ценные бумаги                       Проблемы при пользовании продуктом                                                              Другие продукты Банка
Арест                                     Не согласен с арестом                                                                           POS-кредит
Арест                                     Не согласен с арестом                                                                           Автокредит
Арест                                     Не согласен с арестом                                                                           Вклад/Депозит/Накопит.счет
Арест                                     Не согласен с арестом                                                                           Ипотека
Арест                                     Не согласен с арестом                                                                           Микрокредиты в МКК Уралсиб Финанс
Арест                                     Не согласен с арестом                                                                           Потребительский кредит
Арест                                     Не согласен с арестом                                                                           Потребительский кредит (Ситибанк)
Арест                                     Не согласен со списанием по поручению ФНС                                                       Вклад/Депозит/Накопит.счет
Арест                                     Произошло погашение за счет средств социального характера                                       Ипотека
Арест                                     Произошло погашение за счет средств социального характера                                       Потребительский кредит
Арест                                     Т-Банк                                                                                          Потребительский кредит
Арест/блокировка картсчета                Не согласен с арестом                                                                           Кредитная карта
Арест/блокировка картсчета                Не согласен с арестом картсчета                                                                 Дебетовая карта
Арест/блокировка картсчета                Не согласен с блокировкой счета                                                                 Дебетовая карта
Арест/блокировка картсчета                Не согласен с блокировкой счета                                                                 Кредитная карта
Арест/блокировка картсчета                Не согласен со списанием по поручению ФНС                                                       Дебетовая карта
Арест/блокировка картсчета                Не согласен со списанием по поручению ФНС                                                       Кредитная карта
Арест/блокировка картсчета                Произошло погашение за счет средств социального характера                                       Кредитная карта
БКИ                                       Не согласен с запросом БКИ по инициативе банка                                                  Персональные данные
БКС Управление благосостоянием            Навязали оформление договора                                                                    Партнерские продукты
БКС Управление благосостоянием            Некорректная / неполная консультация по услуге сотрудником Банка                                Партнерские продукты
БКС Управление благосостоянием            Проблемы с выплатами                                                                            Партнерские продукты
Банковская ячейка, сейф                   Оформление/сопровождение                                                                        Другие продукты Банка
Банкротство                               Закрытие договора/счета                                                                         Потребительский кредит
Банкротство                               Списание задолженности                                                                          Автокредит
Банкротство                               Вопрос по снятию ДС                                                                             Вклад/Депозит/Накопит.счет
Банкротство                               Вопрос по снятию ДС                                                                             Дебетовая карта
Банкротство                               Закрытие договора/счета                                                                         Ипотека
Банкротство                               Закрытие договора/счета                                                                         Кредитная карта
Банкротство                               Закрытие договора/счета                                                                         Микрокредиты в МКК Уралсиб Финанс
Банкротство                               Закрытие договора/счета                                                                         Потребительский кредит (Ситибанк)
Банкротство                               Закрытие счета                                                                                  Вклад/Депозит/Накопит.счет
Банкротство                               Закрытие счета/карты                                                                            Дебетовая карта
Банкротство                               Корректировка КИ при банкротстве                                                                Автокредит
Банкротство                               Корректировка КИ при банкротстве                                                                Кредитная карта
Банкротство                               Корректировка КИ при банкротстве                                                                Потребительский кредит
Банкротство                               Корректировка КИ при банкротстве                                                                Потребительский кредит (Ситибанк)
Банкротство                               Снятие ограничений со счета                                                                     Вклад/Депозит/Накопит.счет
Банкротство                               Снятие ограничений со счета                                                                     Дебетовая карта
Банкротство                               Списание задолженности                                                                          Ипотека
Банкротство                               Списание задолженности                                                                          Кредитная карта
Банкротство                               Списание задолженности                                                                          Микрокредиты в МКК Уралсиб Финанс
Банкротство                               Списание задолженности                                                                          Потребительский кредит
Взыскание/Просрочка                       Звонки / СМС / письма клиенту - задолженность / взыскание                                       Персональные данные
Взыскание/Просрочка                       Не доволен действиями банка по взысканию задолженности                                          Микрокредиты в МКК Уралсиб Финанс
Взыскание/Просрочка                       Не доволен действиями банка по взысканию задолженности                                          Потребительский кредит (Ситибанк)
Взыскание/Просрочка                       Негативная информация                                                                           Микрокредиты в МКК Уралсиб Финанс
Взыскание/Просрочка                       Предложение по цессии                                                                           Микрокредиты в МКК Уралсиб Финанс
Дополнительные услуги                     Навязали оформление доп.услуги                                                                  Автокредит
Дополнительные услуги                     Требование вернуть деньги за доп.услуги                                                         Автокредит
Драгметаллы                               Проблемы при пользовании продуктом                                                              Другие продукты Банка
ЖСС                                       Открытие/обслуживание                                                                           Вклад/Депозит/Накопит.счет
Жалоба                                    Некорректная информация о работе Центра Обслуживания                                            Госуслуги
Жалоба                                    Некорректная работа с учетной записью                                                           Госуслуги
Жалоба                                    Отказ в удалении / подтверждении учетной записи                                                 Госуслуги
Жалобы на БПТ                             БПТ не работает                                                                                 БПТ
Жалобы на БПТ                             Нехватка БПТ                                                                                    БПТ
Жалобы на банкомат                        Банкомат не работает                                                                            Банкомат
Жалобы на банкомат                        Нехватка банкоматов                                                                             Банкомат
Задолженность                             Грубость / хамство в диалоге при взыскании                                                      Автокредит
Задолженность                             Грубость / хамство в диалоге при взыскании                                                      Ипотека
Задолженность                             Грубость / хамство в диалоге при взыскании                                                      Кредитная карта
Задолженность                             Грубость / хамство в диалоге при взыскании                                                      Потребительский кредит
Задолженность                             Задолженность сверх решения суда                                                                Автокредит
Задолженность                             Задолженность сверх решения суда                                                                Ипотека
Задолженность                             Задолженность сверх решения суда                                                                Кредитная карта
Задолженность                             Задолженность сверх решения суда                                                                Микрокредиты в МКК Уралсиб Финанс
Задолженность                             Задолженность сверх решения суда                                                                Потребительский кредит
Задолженность                             Задолженность сверх решения суда                                                                Потребительский кредит (Ситибанк)
Задолженность                             Не доволен действиями банка по взысканию задолженности                                          POS-кредит
Задолженность                             Не доволен действиями банка по взысканию задолженности                                          Автокредит
Задолженность                             Не доволен действиями банка по взысканию задолженности                                          Ипотека
Задолженность                             Не доволен действиями банка по взысканию задолженности                                          Кредитная карта
